state,district,market,commodity,variety,min_price,modal_price
Andhra Pradesh,Chittor,Other,Tomato,Local,1000,2000.0
Andhra Pradesh,Chittor,Other,Tomato,Local,1300,2200.0
Andhra Pradesh,Chittor,Other,Bhindi(Ladies Finger),Bhindi,1000,1500.0
Andhra Pradesh,Chittor,Other,Bitter gourd,Bitter Gourd,1500,2000.0
Andhra Pradesh,Chittor,Other,Bottle gourd,Bottle Gourd,250,500.0
Andhra Pradesh,Chittor,Other,Brinjal,Brinjal,1500,2000.0
Andhra Pradesh,Chittor,Other,Cabbage,Cabbage,750,1000.0
Andhra Pradesh,Chittor,Other,Carrot,Carrot,500,750.0
Andhra Pradesh,Chittor,Other,Cauliflower,Cauliflower,500,1000.0
Andhra Pradesh,Chittor,Other,Cluster beans,Cluster Beans,1000,1500.0
Andhra Pradesh,Chittor,Other,Cucumbar(Kheera),Cucumbar,250,500.0
Andhra Pradesh,Chittor,Other,Green Chilli,Green Chilly,1000,1500.0
Andhra Pradesh,Chittor,Other,Raddish,Raddish,500,1000.0
Andhra Pradesh,Chittor,Other,Ridgeguard(Tori),Ridgeguard(Tori),750,1250.0
Andhra Pradesh,Chittor,Other,Tomato,Hybrid,400,1200.0
Andhra Pradesh,Chittor,Other,Tomato,Local,800,2200.0
Andhra Pradesh,Other,Other,Dry Chillies,Red,3000,11000.0
Andhra Pradesh,Other,Other,Dry Chillies,White,2600,4500.0
Andhra Pradesh,Kurnool,Other,Maize,Hybrid/Local,1700,1700.0
Andhra Pradesh,Kurnool,Other,Bengal Gram(Gram)(Whole),Desi (Whole),4700,4800.0
Andhra Pradesh,Kurnool,Other,Jowar(Sorghum),Jowar ( White),2400,2500.0
Andhra Pradesh,Kurnool,Other,Arhar (Tur/Red Gram)(Whole),Local,5189,5189.0
Andhra Pradesh,Kurnool,Other,Bengal Gram(Gram)(Whole),Desi (Whole),4150,4150.0
Andhra Pradesh,Kurnool,Other,Groundnut,Local,4938,5609.0
Andhra Pradesh,Kurnool,Other,Onion,Local,800,1350.0
Andhra Pradesh,Kurnool,Other,Maize,Hybrid,1700,1700.0
Andhra Pradesh,Kurnool,Other,Bengal Gram(Gram)(Whole),Desi (Whole),4650,4700.0
Andhra Pradesh,Kurnool,Other,Onion,Local,2000,2300.0
Andhra Pradesh,Kurnool,Other,Tomato,Local,3500,3800.0
Andhra Pradesh,Other,Other,Paddy(Dhan)(Common),1001,1650,1700.0
Andhra Pradesh,Other,Other,Paddy(Dhan)(Common),1001,1700,1750.0
Andhra Pradesh,Other,Other,Lemon,Lemon,2000,2600.0
Assam,Other,Other,Rice,Common,2200,2400.0
Assam,Other,Other,Rice,Fine,2500,2800.0
Assam,Other,Other,Green Gram (Moong)(Whole),Green (Whole),6400,6500.0
Assam,Other,Other,Rice,Fine,3500,4500.0
Assam,Other,Other,Rice,Medium,1800,2500.0
Assam,Other,Other,Rice,Common,2200,2400.0
Assam,Other,Other,Rice,Fine,2500,2800.0
Assam,Other,Other,Garlic,Garlic,7500,8500.0
Assam,Other,Other,Onion,Onion,1950,2000.0
Assam,Other,Other,Potato,Potato,1050,1080.0
Assam,Other,Other,Rice,Common,2500,3400.0
Assam,Kamrup,Other,Bitter gourd,Bitter Gourd,3000,3500.0
Assam,Kamrup,Other,Brinjal,Brinjal,3600,4000.0
Assam,Kamrup,Other,Cabbage,Cabbage,1800,1900.0
Assam,Kamrup,Other,Cucumbar(Kheera),Cucumbar,2000,2300.0
Assam,Kamrup,Other,Garlic,Garlic,7000,8500.0
Assam,Kamrup,Other,Green Chilli,Green Chilly,9000,9500.0
Assam,Kamrup,Other,Onion,Onion,2200,2400.0
Assam,Kamrup,Other,Pointed gourd (Parval),Pointed gourd (Parval),2500,3000.0
Assam,Kamrup,Other,Potato,Potato,1400,1500.0
Assam,Kamrup,Other,Pumpkin,Pumpkin,1200,1400.0
Assam,Kamrup,Other,Ridgeguard(Tori),Ridgeguard(Tori),2000,2300.0
Assam,Kamrup,Other,Tomato,Tomato,3500,4000.0
Assam,Other,Other,Lentil (Masur)(Whole),Masoor Gola,5500,5800.0
Assam,Other,Other,Rice,Medium,2400,2450.0
Assam,Other,Other,Rice,Common,2400,2800.0
Assam,Lakhimpur,Other,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),7100,7400.0
Assam,Lakhimpur,Other,Green Gram (Moong)(Whole),Green (Whole),7600,8400.0
Assam,Lakhimpur,Other,Lentil (Masur)(Whole),Masur Dal,6500,6700.0
Assam,Lakhimpur,Other,Peas(Dry),Peas(Dry),5700,5900.0
Assam,Lakhimpur,Other,Rice,Common,2500,2600.0
Assam,Lakhimpur,Other,Rice,Fine,3000,3570.0
Assam,Other,Other,Arhar Dal(Tur Dal),Arhar Dal(Tur),7000,7600.0
Assam,Other,Other,Bengal Gram(Gram)(Whole),Bengal Gram Dal,5500,6050.0
Assam,Other,Other,Green Gram Dal (Moong Dal),Green Gram Dal,7200,7950.0
Assam,Other,Other,Gur(Jaggery),Red,3600,3800.0
