"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andaman and Nicobar","Nicobar","Car Nicobar","Amaranthus","Other","24/07/2019","4000","8000","6000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Bitter gourd","Other","24/07/2019","12000","18000","15000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Bottle gourd","Other","24/07/2019","4000","8000","6000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Brinjal","Other","24/07/2019","10000","14000","12000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Cabbage","Other","24/07/2019","8000","12000","10000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Carrot","Other","24/07/2019","10000","15000","12000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Cauliflower","Other","24/07/2019","12000","18000","15000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Cowpea(Veg)","Other","24/07/2019","6000","9000","8000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Cucumbar(Kheera)","Other","24/07/2019","6000","10000","8000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Drumstick","Other","24/07/2019","12000","18000","15000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Ginger(Green)","Other","24/07/2019","23000","28000","25000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Little gourd (Kundru)","Other","24/07/2019","10000","15000","12000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Raddish","Other","24/07/2019","4000","8000","6000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Snakeguard","Other","24/07/2019","6000","10000","8000"
"Andaman and Nicobar","Nicobar","Car Nicobar","Tomato","Other","24/07/2019","8000","12000","10000"
"Andhra Pradesh","Chittor","Kalikiri","Tomato","Local","24/07/2019","1000","3000","2000"
"Andhra Pradesh","Chittor","Mulakalacheruvu","Tomato","Local","24/07/2019","1300","2800","2200"
"Andhra Pradesh","Chittor","Palamaner","Bhindi(Ladies Finger)","Bhindi","24/07/2019","1000","2000","1500"
"Andhra Pradesh","Chittor","Palamaner","Bitter gourd","Bitter Gourd","24/07/2019","1500","2500","2000"
"Andhra Pradesh","Chittor","Palamaner","Bottle gourd","Bottle Gourd","24/07/2019","250","750","500"
"Andhra Pradesh","Chittor","Palamaner","Brinjal","Brinjal","24/07/2019","1500","2500","2000"
"Andhra Pradesh","Chittor","Palamaner","Cabbage","Cabbage","24/07/2019","750","1250","1000"
"Andhra Pradesh","Chittor","Palamaner","Carrot","Carrot","24/07/2019","500","1000","750"
"Andhra Pradesh","Chittor","Palamaner","Cauliflower","Cauliflower","24/07/2019","500","1500","1000"
"Andhra Pradesh","Chittor","Palamaner","Cluster beans","Cluster Beans","24/07/2019","1000","2000","1500"
"Andhra Pradesh","Chittor","Palamaner","Cucumbar(Kheera)","Cucumbar","24/07/2019","250","750","500"
"Andhra Pradesh","Chittor","Palamaner","Green Chilli","Green Chilly","24/07/2019","1000","2000","1500"
"Andhra Pradesh","Chittor","Palamaner","Raddish","Raddish","24/07/2019","500","1500","1000"
"Andhra Pradesh","Chittor","Palamaner","Ridgeguard(Tori)","Ridgeguard(Tori)","24/07/2019","750","1750","1250"
"Andhra Pradesh","Chittor","Palamaner","Tomato","Hybrid","24/07/2019","400","2000","1200"
"Andhra Pradesh","Chittor","Vayalapadu","Tomato","Local","24/07/2019","800","3600","2200"
"Andhra Pradesh","Guntur","Duggirala","Turmeric","Bulb","24/07/2019","5050","6081","5721"
"Andhra Pradesh","Guntur","Duggirala","Turmeric","Finger","24/07/2019","5050","6081","5721"
"Andhra Pradesh","Guntur","Guntur","Dry Chillies","Guntur","24/07/2019","4000","12800","11000"
"Andhra Pradesh","Guntur","Guntur","Dry Chillies","Red","24/07/2019","3000","13200","11000"
"Andhra Pradesh","Guntur","Guntur","Dry Chillies","Red New","24/07/2019","4000","14000","12000"
"Andhra Pradesh","Guntur","Guntur","Dry Chillies","Red Top","24/07/2019","3600","13400","10000"
"Andhra Pradesh","Guntur","Guntur","Dry Chillies","White","24/07/2019","2600","9600","4500"
"Andhra Pradesh","Kurnool","Adoni","Groundnut","Balli/Habbu","24/07/2019","4266","6437","5367"
"Andhra Pradesh","Kurnool","Atmakur","Maize","Hybrid/Local","24/07/2019","1700","1700","1700"
"Andhra Pradesh","Kurnool","Atmakur","Paddy(Dhan)(Common)","Sona Mahsuri","24/07/2019","1750","1750","1750"
"Andhra Pradesh","Kurnool","Banaganapalli","Bengal Gram(Gram)(Whole)","Desi (Whole)","24/07/2019","4700","4900","4800"
"Andhra Pradesh","Kurnool","Banaganapalli","Jowar(Sorghum)","Jowar ( White)","24/07/2019","2400","2600","2500"
"Andhra Pradesh","Kurnool","Banaganapalli","Paddy(Dhan)(Common)","Sona Mahsuri","24/07/2019","1900","2100","2000"
"Andhra Pradesh","Kurnool","Kurnool","Arhar (Tur/Red Gram)(Whole)","Local","24/07/2019","5189","5675","5189"
"Andhra Pradesh","Kurnool","Kurnool","Bengal Gram(Gram)(Whole)","Desi (Whole)","24/07/2019","4150","4620","4150"
"Andhra Pradesh","Kurnool","Kurnool","Castor Seed","Other","24/07/2019","4491","4859","4491"
"Andhra Pradesh","Kurnool","Kurnool","Groundnut","Local","24/07/2019","4938","6889","5609"
"Andhra Pradesh","Kurnool","Kurnool","Onion","Local","24/07/2019","800","1350","1350"
"Andhra Pradesh","Kurnool","Nandikotkur","Bengal Gram(Gram)(Whole)","Gulabi","24/07/2019","4620","4620","4620"
"Andhra Pradesh","Kurnool","Nandikotkur","Maize","Hybrid","24/07/2019","1700","1700","1700"
"Andhra Pradesh","Kurnool","Nandikotkur","Paddy(Dhan)(Common)","Sona","24/07/2019","1750","1750","1750"
"Andhra Pradesh","Kurnool","Nandyal","Bengal Gram(Gram)(Whole)","Desi (Whole)","24/07/2019","4650","4750","4700"
